experiment_accession	is_control	biosample	target	run_type	n_files	bio_reps	tech_reps	platform	sex	organism	replication_type
ENCSR000AOC	False	HeLa-S3	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIx	female	Homo sapiens	isogenic
ENCSR000AOP	True	astrocyte		single-ended	6	2	4	Illumina Genome Analyzer IIx	unknown	Homo sapiens	isogenic
ENCSR000AOQ	False	astrocyte	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIe	unknown	Homo sapiens	isogenic
ENCSR000APH	False	osteoblast	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIe	unknown	Homo sapiens	anisogenic
ENCSR000APN	False	fibroblast of dermis	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer II	unknown	Homo sapiens	isogenic
ENCSR000APT	True	fibroblast of dermis		single-ended	6	3	4	Illumina Genome Analyzer IIx	unknown	Homo sapiens	isogenic
ENCSR000APU	True	osteoblast		single-ended	2	3	4	Illumina Genome Analyzer II	unknown	Homo sapiens	anisogenic
ENCSR000AQW	False	DND-41	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIx	male	Homo sapiens	isogenic
ENCSR000ASA	True	DND-41		single-ended	2	2	2	Illumina Genome Analyzer	male	Homo sapiens	isogenic
ENCSR000ASJ	False	CD14-positive monocyte	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer	female	Homo sapiens	isogenic
ENCSR000ASR	True	A549		single-ended	2	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR000ASS	True	A549		single-ended	6	4	4	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR000AUI	False	A549	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR000AUP	False	B cell	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR000AUU	True	CD14-positive monocyte		single-ended	4	3	3	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR000AUW	True	B cell		single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR000AVF	False	A549	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR000DPL	False	AG04450	H3K27ac	single-ended	2	1	1	Illumina Genome Analyzer	male	Homo sapiens	unreplicated
ENCSR000DPN	True	AG04450		single-ended	1	1	1	Illumina Genome Analyzer	male	Homo sapiens	unreplicated
ENCSR000EUT	False	HCT116	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer	male	Homo sapiens	isogenic
ENCSR000EUX	True	HCT116		single-ended	2	2	2	Illumina Genome Analyzer	male	Homo sapiens	isogenic
ENCSR000EVA	True	HEK293		single-ended	1	1	1	Illumina Genome Analyzer	female	Homo sapiens	unreplicated
ENCSR000EWR	False	MCF-7	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer	female	Homo sapiens	isogenic
ENCSR000EWW	True	MCF-7		single-ended	2	2	2	Illumina Genome Analyzer	female	Homo sapiens	isogenic
ENCSR000EXK	False	Panc1	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer II	male	Homo sapiens	isogenic
ENCSR000EXM	True	Panc1		single-ended	1	1	1	Illumina Genome Analyzer	male	Homo sapiens	unreplicated
ENCSR000FCH	False	HEK293	H3K27ac	single-ended	3	2	3	Illumina Genome Analyzer IIx	female	Homo sapiens	isogenic
ENCSR000FCU	False	SK-N-SH	H3K27ac	single-ended	2	2	2	Illumina Genome Analyzer IIx	female	Homo sapiens	isogenic
ENCSR000FDA	True	SK-N-SH		single-ended	2	1	2	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR000JGO	True	brain microvascular endothelial cell		paired-ended	1	1	1	Illumina HiSeq 4000	unknown	Homo sapiens	unreplicated
ENCSR000NPF	False	cardiac muscle cell	H3K27ac	single-ended	10	2	2	Illumina HiSeq 2500	unknown	Homo sapiens	isogenic
ENCSR001BSB	True	IMR-90		single-ended	4	1	2	Illumina Genome Analyzer II	female	Homo sapiens	unreplicated
ENCSR001KCX	True	bipolar neuron		paired-ended	4	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR001SHB	False	stomach	H3K27ac	single-ended	1	1	1	Illumina Genome Analyzer	male	Homo sapiens	unreplicated
ENCSR001UFN	True	gastrocnemius medialis		single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR002YRE	False	IMR-90	H3K27ac	single-ended	5	2	3	Illumina Genome Analyzer II	female	Homo sapiens	isogenic
ENCSR004EKY	False	muscle layer of colon	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR004HIE	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR004YQD	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR006ANF	False	BLaER1	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR007HLH	False	CD8-positive, alpha-beta T cell	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR007WYC	True	ascending aorta		single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR007YOT	False	GM23248	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR010OVI	False	BLaER1	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR011BHU	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR011GWK	True	PC-9		paired-ended	9	2	2	Illumina HiSeq 2500	unknown	Homo sapiens	isogenic
ENCSR011MGQ	False	subcutaneous abdominal adipose tissue	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR012PII	False	CD14-positive monocyte	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR013KEC	False	mesenchymal stem cell	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR014TDK	False	temporal lobe	H3K27ac	single-ended	6	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR015GFK	False	thoracic aorta	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR016XBE	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR018KWK	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR020OIW	True	muscle layer of colon		single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR023HXE	True	CD4-positive, alpha-beta T cell		single-ended	6	2	2	Illumina HiSeq 2000	unknown	Homo sapiens	anisogenic
ENCSR025KPY	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR027BPE	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR028NXO	False	heart right ventricle	H3K27ac	single-ended	1	1	1	Illumina Genome Analyzer	male	Homo sapiens	unreplicated
ENCSR028QEA	False	placenta	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR029SIG	False	pancreas	H3K27ac	single-ended	16	2	4	Illumina NextSeq 500	female	Homo sapiens	isogenic
ENCSR033XKQ	True	skin epidermis		single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR034RQV	False	parathyroid adenoma	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR034ZKE	False	breast epithelium	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR038JBA	True	UCSF-4		single-ended	4	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR039AHR	False	BLaER1	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR041UZZ	False	T-helper 17 cell	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR043UWF	True	adrenal gland		single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR049JKQ	True	heart right ventricle		single-ended	12	1	3	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR049LCN	True	heart right ventricle		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR051QLZ	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR054BKO	False	urinary bladder	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR055XHN	True	HepG2		single-ended	12	3	4	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR055YMD	True	amnion		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR058XPK	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR059MVB	False	ACC112	H3K27ac	single-ended	3	2	3	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR059QYS	True	liver		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR059VTG	True	tibial nerve		single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR061EXX	True	heart left ventricle		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR061IAQ	False	ovary	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR061VJM	True	lung		single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR063AUO	True	OCI-LY7		single-ended	4	3	5	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR064RLF	True	thymus		single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR065SKV	False	CD14-positive monocyte	H3K27ac	paired-ended	1	1	1	Illumina NextSeq 500	unknown	Homo sapiens	unreplicated
ENCSR066GUY	False	placental basal plate	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR067BGS	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR067CHO	True	pancreas		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR069EGE	False	transverse colon	H3K27ac	single-ended	10	3	4	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR069UMW	False	ascending aorta	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR071DPR	True	skin epidermis		single-ended	2	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR071ILJ	True	adrenal gland		single-ended	16	2	4	Illumina NextSeq 500	female	Homo sapiens	isogenic
ENCSR072QNY	True	CD8-positive, alpha-beta T cell		single-ended	6	2	2	Illumina HiSeq 2000	unknown	Homo sapiens	anisogenic
ENCSR074ECR	False	right cardiac atrium	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR074WNF	True	CD4-positive, alpha-beta T cell		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR078LIZ	False	colonic mucosa	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR079HOU	True	cingulate gyrus		single-ended	2	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR080WMI	True	mesendoderm		single-ended	1	1	1	Illumina Genome Analyzer IIx	male	Homo sapiens	unreplicated
ENCSR081OTO	False	breast epithelium	H3K27ac	single-ended	8	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR082SHT	False	adipose tissue	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR085WWL	True	A549		single-ended	3	3	3	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR086BNR	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR086NVH	True	iPS DF 19.11		single-ended	1	1	1	Illumina Genome Analyzer IIx	male	Homo sapiens	unreplicated
ENCSR086QZY	False	adrenal gland	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR086XCT	False	spleen	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR089ZLR	True	lower lobe of left lung		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR091KXI	False	tibial nerve	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR094VJC	False	adrenal gland	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR095YMD	False	esophagus muscularis mucosa	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR096QCF	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR099LGH	True	body of pancreas		single-ended	5	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR099RQB	True	sigmoid colon		single-ended	8	1	4	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR102GGG	False	CD14-positive monocyte	H3K27ac	paired-ended	1	1	1	Illumina NextSeq 500	unknown	Homo sapiens	unreplicated
ENCSR102XUM	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR103IXF	True	dorsolateral prefrontal cortex		single-ended	28	2	4	Illumina NextSeq 500	female	Homo sapiens	isogenic
ENCSR105CRB	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR105EMQ	False	peripheral blood mononuclear cell	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR105VFR	False	heart left ventricle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR107PGG	True	hepatocyte		single-ended	5	2	3	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR107RQX	True	large intestine		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR108NVQ	False	foreskin fibroblast	H3K27ac	paired-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR109IWL	True	heart left ventricle		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR111QCU	False	brain microvascular endothelial cell	H3K27ac	paired-ended	2	2	2	Illumina HiSeq 4000	unknown	Homo sapiens	isogenic
ENCSR111ZAD	True	skin epidermis		single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR113CMI	True	foreskin keratinocyte		paired-ended	2	2	2	Illumina HiSeq 4000	male	Homo sapiens	anisogenic
ENCSR113QDZ	True	prostate gland		single-ended	4	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR113XPE	True	spinal cord		single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR116MKX	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR116QUS	True	aorta		single-ended	2	1	2	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR118FQN	True	Peyer's patch		single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR119AVG	True	spleen		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR119XNK	False	right lobe of liver	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR120ITZ	True	heart left ventricle		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR120WKZ	False	naive thymus-derived CD4-positive, alpha-beta T cell	H3K27ac	single-ended	6	2	2	Illumina HiSeq 2000	unknown	Homo sapiens	anisogenic
ENCSR122GIL	True	coronary artery		single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR123HEE	False	layer of hippocampus	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR123WDC	True	CD8-positive, alpha-beta memory T cell		single-ended	6	2	2	Illumina HiSeq 2000	unknown	Homo sapiens	anisogenic
ENCSR124GAS	True	Peyer's patch		single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR124KQG	True	motor neuron		paired-ended	1	1	1	Illumina NovaSeq 6000	male	Homo sapiens	unreplicated
ENCSR124VOE	False	neural cell	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR125KVG	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR126UEY	True	skin epidermis		single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR126ZPV	True	layer of hippocampus		single-ended	2	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR128HTH	True	placenta		single-ended	8	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR130HAG	True	pancreas		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR131DVD	False	HAP-1	H3K27ac	paired-ended	2	2	2	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR131SEB	True	epithelial cell of prostate		paired-ended	2	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR133NBJ	False	stomach	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR136KIM	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR136ZQZ	False	testis	H3K27ac	single-ended	8	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR137ZID	False	pancreas	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR138DOM	False	CD4-positive, alpha-beta T cell	H3K27ac	single-ended	5	2	2	Illumina HiSeq 2000	unknown	Homo sapiens	anisogenic
ENCSR138TQF	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	16	2	4	Illumina NextSeq 500	female	Homo sapiens	isogenic
ENCSR138WRC	True	gastrocnemius medialis		single-ended	16	2	3	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR139WMA	True	psoas muscle		single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR143DQF	True	cingulate gyrus		single-ended	6	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR143XNJ	False	esophagus squamous epithelium	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR145RXI	True	heart right ventricle		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR147KFH	True	esophagus muscularis mucosa		single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR149EOW	True	ovary		single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR150QXE	False	heart left ventricle	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR151NEZ	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR152HLZ	True	tibial nerve		single-ended	8	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR152MAZ	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR153LYY	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR154SJE	True	tibial nerve		single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR155GOF	True	foreskin keratinocyte		paired-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR156MYA	False	skin epidermis	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR156WTZ	True	esophagus squamous epithelium		single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR156XNC	False	peripheral blood mononuclear cell	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR158PLZ	True	thoracic aorta		single-ended	6	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR161JTT	True	esophagus		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR163UEW	True	psoas muscle		single-ended	2	1	2	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR163VJS	True	adipose tissue		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR163XFK	True	coronary artery		single-ended	6	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR164POT	True	thyroid gland		single-ended	1	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR165CDY	False	left ventricle myocardium inferior	H3K27ac	single-ended	16	2	4	Illumina NextSeq 500	male	Homo sapiens	isogenic
ENCSR168STG	True	parathyroid adenoma		single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR170MAJ	False	spleen	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR170MJE	True	heart left ventricle		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR174GMQ	False	heart right ventricle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR175ABH	False	heart right ventricle	H3K27ac	single-ended	12	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR175HRD	True	motor neuron		paired-ended	1	1	1	Illumina NovaSeq 6000	male	Homo sapiens	unreplicated
ENCSR175XPY	False	colonic mucosa	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR177QFY	False	adrenal gland	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR178FVP	True	heart left ventricle		single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR178MWD	True	gastroesophageal sphincter		single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR179YLS	True	SU-DHL-6		single-ended	7	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR180YHA	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR181OHF	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR185OHN	True	SK-N-SH		paired-ended	4	2	3	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR189JIH	False	uterus	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR189QAD	False	adrenal gland	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR189UPU	True	spleen		single-ended	14	2	4	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR191ZQT	False	B cell	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR193TCX	True	layer of hippocampus		single-ended	6	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR194KGO	False	skin epidermis	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR195BZZ	True	right atrium auricular region		single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
